date,上证指数,深证成指,创业板指,沪深300,中证500,中证1000,科创50
2025-09-30,0.76,1.28,1.65,1.63,1.21,0.54,2.67
2025-10-31,1.85,-1.1,-1.56,-0.0,-1.1,-0.9,-5.33
2025-11-30,-1.67,-2.95,-4.23,-2.46,-4.08,-2.3,-6.24
2025-12-31,2.06,4.17,4.93,2.28,6.17,3.56,1.28
2026-01-31,3.76,5.03,4.47,1.65,12.12,8.68,12.29
2026-02-28,1.09,2.04,-1.08,0.09,3.44,3.71,-1.42
2026-03-31,-6.51,-7.02,-3.79,-5.53,-12.02,-10.99,-15.57
2026-04-30,5.66,12.09,15.45,8.03,9.61,10.0,25.05
2026-05-31,-1.06,3.1,9.81,1.76,0.12,0.32,11.47
2026-06-30,0.63,4.05,7.55,1.78,8.04,4.77,26.07
2026-07-31,-6.4,-16.21,-23.0,-7.86,-17.02,-19.69,-25.9
2026-08-31,3.13,2.76,2.41,0.46,5.36,8.9,1.6
