code,name,pct,amount,turnover,seal_amount,last_limit_time,down_count,open_times,industry
603382,海阳科技,-9.980334281921388,156832477,7.213213920593262,369074,150000,2,1,化学纤维
002487,大金重工,-10.005104064941406,1332183264,5.809910774230957,2877603,142703,1,6,风电设备
603079,圣达生物,-9.97861671447754,281875504,11.58290672302246,3594498,150000,1,50,化学制品
603657,春光科技,-10.01072597503662,100062316,2.820991516113281,7520796,102602,1,7,家电零部
001317,三羊马,-10.0,492405888,11.394999504089355,13302081,134439,1,7,铁路公路
002860,星帅尔,-10.0,315409872,5.7352142333984375,22968882,135857,1,17,家电零部
603118,共进股份,-10.005620956420898,1849921616,14.30318832397461,23048956,131744,1,17,通信设备
605179,一鸣食品,-9.98415184020996,686808864,5.898929595947266,49830668,131511,2,1,饮料乳品
603156,养元饮品,-9.994342803955078,1163559792,1.8409833908081048,100631402,95742,1,11,饮料乳品
001277,速达股份,-9.991532325744627,34753722,2.3925626277923584,122709371,92500,1,0,专用设备
603823,百合花,-9.993568420410156,1029684336,3.403721809387207,173494416,94426,2,2,化学制品
