code,name,pct,amount,turnover,seal_amount,first_limit_time,last_limit_time,open_times,board_stat,board_count,industry
002084,海鸥住工,10.11494255065918,15938581,0.5161793828010559,327258667,92500,92500,0,3/3,3,家居用品
002418,康盛股份,10.123456954956056,529807968,10.453725814819336,115310610,92500,92500,0,2/2,2,家电零部
002742,冀衡医药,10.04273509979248,66286556,2.4567010402679443,115237038,92500,92500,0,2/2,2,化学制药
002855,捷荣技术,10.0,27442800,0.921100378036499,96739500,92500,92500,0,2/2,2,消费电子
002366,融发核电,10.05290985107422,499945952,4.330522537231445,166007712,92500,95836,1,1/1,1,其他电源
603396,金辰股份,10.019342422485352,115390295,2.928894758224488,64817092,92504,92504,0,1/1,1,光伏设备
301630,同宇新材,19.998779296875,873589280,21.34042358398437,18307266,93000,133645,11,1/1,1,电子化学
605277,新亚电子,10.019776344299316,175989461,2.731439113616944,64569237,93001,93001,0,1/1,1,消费电子
600479,千金药业,9.980039596557615,245578988,5.326394557952881,94867157,93003,93003,0,1/1,1,中药Ⅱ
600468,百利电气,10.050251007080078,293780928,4.128499031066895,59070213,93046,93125,1,1/1,1,电网设备
688185,康希诺,20.0,466118176,4.819250106811523,243914341,93054,93054,0,1/1,1,生物制品
002703,浙江世宝,10.018903732299805,1269404880,12.542306900024414,118956743,93112,94242,3,2/2,2,汽车零部
605169,洪通燃气,10.017730712890623,77086801,2.212069511413574,50667845,93119,93146,1,1/1,1,燃气Ⅱ
002963,豪尔赛,9.990157127380373,229247023,6.938169002532959,47733230,93145,130812,2,2/2,2,装修装饰
603618,杭电股份,9.993108749389648,2521501088,11.494242668151855,298482164,93228,100301,2,1/1,1,电网设备
000536,华映科技,10.122699737548828,294204624,2.99536681175232,66844579,93336,95545,1,1/1,1,光学光电
600604,市北高新,9.913793563842772,489741216,6.909062385559082,37519170,93441,134841,4,3/2,1,房地产开
600371,万向德农,10.034602165222168,452229232,16.52392578125,34980985,93512,105324,5,7/4,2,种植业
600103,青山纸业,10.158730506896973,755668976,10.177248001098633,124279247,93544,93632,1,2/2,2,造纸
000890,法尔胜,10.068965911865234,140872542,4.327672958374023,82063926,93621,93621,0,1/1,1,环保设备
002949,华阳国际,9.967845916748049,290601696,14.394020080566406,54428629,93636,95248,5,2/2,2,工程咨询
601038,一拖股份,9.97697639465332,289921072,2.799385070800781,19709482,93641,143929,3,1/1,1,专用设备
605162,新中港,10.0,261407473,6.135110855102539,73455723,93739,93739,0,1/1,1,电力
603392,万泰生物,10.0,244864110,0.6411604881286621,71255215,93750,93817,1,1/1,1,医疗器械
002047,宝鹰股份,10.0,186794782,3.449509859085083,72152421,93757,94830,1,1/1,1,装修装饰
000428,华天酒店,9.95370388031006,212861590,4.549842357635498,98759273,93906,93906,0,2/2,2,酒店餐饮
002942,新农股份,9.993634223937988,100050865,4.219804763793945,57377721,93936,93936,0,1/1,1,农化制品
600272,开开实业,10.010427474975586,1142225840,34.564395904541016,42566127,94048,135706,7,15/8,1,医药商业
600227,赤天化,9.973752975463867,1094496784,21.012868881225582,73231982,94502,110917,2,1/1,1,农化制品
002295,精艺股份,10.032715797424316,66118341,2.672276973724365,45419126,94524,94551,1,1/1,1,工业金属
000712,锦龙股份,10.045146942138672,508504992,5.940485000610352,189962555,94554,101057,1,1/1,1,证券Ⅱ
603979,金诚信,10.00408935546875,513267616,1.0373764038085938,123558939,94734,94734,0,1/1,1,工业金属
000997,新 大 陆,9.994683265686035,1852710336,8.973761558532715,57309375,95033,134812,5,1/1,1,计算机设
603121,华培动力,10.023866653442385,151640238,3.312885284423828,22733754,95052,95119,1,1/1,1,汽车零部
600362,江西铜业,10.011324882507324,4149840400,4.214364528656006,206654567,95059,95141,1,1/1,1,工业金属
603200,上海洗霸,9.99742317199707,736903392,10.18971347808838,86635086,95530,100948,1,3/2,1,环境治理
002721,金一文化,10.0,545832864,6.848200798034668,85352344,95618,95951,2,1/1,1,饰品
000017,深中华A,10.0,961828272,24.108531951904297,61238647,100024,100224,2,5/5,5,饰品
301177,迪阿股份,20.00835418701172,203489782,1.9006361961364744,69398119,101609,101609,0,1/1,1,饰品
600095,湘财股份,10.02538013458252,685897776,2.857417106628418,101070048,101846,101907,1,1/1,1,证券Ⅱ
601212,白银有色,10.030394554138184,4031968832,7.878591060638428,106216490,102221,102221,0,4/3,1,工业金属
003040,楚天龙,10.012920379638672,1769610160,23.801273345947266,34776963,102615,110427,8,4/4,4,通信设备
002094,青岛金王,9.922179222106934,558150448,14.992460250854492,38394575,102739,102739,0,2/2,2,家居用品
603106,恒银科技,10.067113876342772,415275216,10.01755714416504,11161020,103837,131652,3,1/1,1,计算机设
603083,剑桥科技,10.0,4995730432,9.790493965148926,244308039,104345,104345,0,1/1,1,通信设备
600969,郴电国际,9.95370388031006,151658055,4.431390285491943,15963800,110059,110059,0,1/1,1,电力
000533,顺钠股份,10.047392845153809,872307984,11.51520538330078,136443088,110342,110342,0,1/1,1,电网设备
603118,共进股份,10.030769348144531,2171553472,16.063434600830078,72009912,111431,111431,0,1/1,1,通信设备
002072,凯瑞德,10.068026542663574,235578357,8.141404151916504,26921084,112736,143606,1,1/1,1,贸易Ⅱ
001268,联合精密,9.991039276123049,334009008,15.183320999145508,30613850,130051,130051,0,3/2,1,家电零部
001258,立新能源,10.008136749267578,1586435696,13.539796829223633,159609602,131451,131451,0,1/1,1,电力
603615,茶花股份,9.98818016052246,167100707,3.8258790969848633,89442618,131847,131847,0,1/1,1,家居用品
