code,name,pct,amount,turnover,speed,amplitude,last_limit_time,prev_board_count,board_stat,industry
000017,深中华A,9.990394592285156,1253143472,25.08280563354492,0.0,7.39673376083374,93536,6,7/7,饰品
000576,甘化科工,2.0,517329520,14.721209526062012,0.0,6.25,95318,1,2/1,地面兵装
000586,汇源通信,-4.441359996795654,342113632,12.855975151062012,0.0,5.412907600402832,95542,1,2/1,通信设备
000592,平潭发展,2.9368574619293213,2635200224,19.68785858154297,0.0,6.754772186279297,143548,1,2/1,林业Ⅱ
000712,锦龙股份,9.972041130065918,178845225,1.6920617818832395,0.0,0.0,92500,2,3/3,证券Ⅱ
000890,法尔胜,-2.0501139163970947,1125328272,30.03639030456543,0.0,14.23690128326416,93009,2,3/2,环保设备
000951,中国重汽,-2.2778027057647705,904986016,3.519665002822876,0.0,6.520768165588379,101100,1,2/1,商用车
000962,东方钽业,0.2953953146934509,2303486656,7.855026721954346,0.0,4.517810344696045,132615,1,2/1,小金属
001232,嘉立创,8.010862350463867,2405495504,31.513872146606445,0.0,7.282601833343506,103006,1,2/1,元件
001309,德明利,-0.1698622405529022,8388900608,11.623278617858888,0.0,4.476917743682861,143433,1,2/1,半导体
002072,凯瑞德,4.606741905212402,613289584,18.531328201293945,0.0,16.629213333129883,100648,2,3/2,贸易Ⅱ
002084,海鸥住工,10.056926727294922,39002059,1.0431482791900637,0.0,0.0,92500,4,5/5,家居用品
002134,天津普林,-2.4745912551879883,375488192,6.789944648742676,0.0,3.7560760974884033,102642,1,2/1,元件
002155,湖南黄金,7.031827926635742,5331445504,11.986794471740724,0.0,7.549962997436523,92500,1,2/1,贵金属
002190,成飞集成,1.8416928052902224,767278880,8.209969520568848,0.0,4.623824119567871,103921,1,2/1,汽车零部
002396,星网锐捷,10.014991760253906,4141078928,15.157744407653809,0.0,9.865067481994627,143639,1,6/3,通信设备
002418,康盛股份,-0.2036660015583038,2521908000,42.88680648803711,0.0,11.60896110534668,94642,3,4/3,家电零部
002515,金字火腿,-2.680652618408203,1204293440,12.867170333862305,0.0,6.759906768798828,142706,1,2/1,食品加工
002536,飞龙股份,-1.6595979928970337,3579542624,12.121633529663086,0.0,4.167435169219971,133730,1,2/1,汽车零部
002628,成都路桥,3.78787899017334,528944528,12.679620742797852,0.0,10.03787899017334,140818,1,2/1,基础建设
002636,金安国纪,5.431494235992432,7075641856,13.128436088562012,0.0,6.267108917236328,104139,1,2/1,元件
002742,冀衡医药,10.05290985107422,1345116192,41.97233581542969,0.0,11.992945671081545,92500,3,10/5,化学制药
002824,和胜股份,-2.061469316482544,741002560,12.247149467468262,0.0,6.48425817489624,111351,1,2/1,工业金属
002852,道道全,-0.8998875617980957,315402432,12.273846626281738,0.0,6.411698341369629,135009,1,2/1,农产品加
002855,捷荣技术,9.992486953735352,75031464,2.081451416015625,0.0,0.0,92500,3,4/4,消费电子
002886,沃特股份,10.0,112054800,2.030102014541626,0.0,0.0,94648,1,6/3,塑料
002942,新农股份,9.994739532470703,512135680,18.389476776123047,0.0,13.30878448486328,92500,2,3/3,农化制品
002953,日丰股份,-4.545454502105713,414884784,12.913535118103027,0.0,2.946127891540528,95042,1,2/1,电网设备
002980,华盛昌,-1.136697769165039,1113979712,10.647911071777344,0.0,5.703086853027344,103815,1,2/1,电网设备
003040,楚天龙,-1.2279764413833618,2444580912,28.413185119628903,0.0,10.19754409790039,131809,5,6/5,通信设备
300368,汇金股份,-2.494802474975586,910031472,18.14006996154785,0.0,6.237006187438965,94330,1,2/1,计算机设
300456,赛微电子,9.012412071228027,5062150912,20.96535301208496,0.0,6.556934833526611,102627,1,2/1,半导体
301399,英特科技,4.378530979156494,500453008,43.137996673583984,0.0,13.37099838256836,104636,1,2/1,通用设备
301591,肯特股份,14.08730125427246,1559274048,60.56240081787109,0.0,12.142857551574709,101948,1,2/1,塑料
301666,大普微-UW,1.419437289237976,4033829216,29.991559982299805,0.0,13.192668914794922,93051,1,2/1,计算机设
600095,湘财股份,0.1048218011856079,2033210784,7.317509651184082,0.0,6.813417434692383,130241,2,3/2,证券Ⅱ
